Image Size,Model,2018 Data,Batch Size,Replicas,Total Batch Size,TTA Loops,CV Folds,Mean CV AUC,Std CV AUC,OOF AUC with TTA,OOF AUC and Meta with TTA,Best average Meta weighting,Mean CV Loss,Total Epochs,Early Stop,Best AUC Epoch,Best Loss Epoch,Kaggle LB AUC,Kaggle LB AUC w Meta
128,EFNB0,1,256,1,256,25,5,0.8628104329109191,0.015300988998639,0.8992212951513759,0.899623807148086,0.027999999999999997,0.164090171456337,12,0,8.8,9.4,0.0,0.0
128,EFNB0,1,128,1,128,25,5,0.8931075692176821,0.009576880215716,0.896963689474082,0.899277963355573,0.18600000000000003,0.47108166217804,12,0,10.4,10.4,0.0,0.0
128,EFNB0,1,128,1,128,25,5,0.894637656211853,0.016114696394527,0.899087025529077,0.8992025377532091,0.07400000000000001,0.234308066964149,12,0,9.2,8.0,0.0,0.0
128,EFNB0,1,128,1,128,25,5,0.891280603408813,0.012457297070094001,0.897614749740452,0.8988249411712509,0.26,0.43006596565246596,12,0,10.0,9.0,0.0,0.0
128,EFNB0,0,256,1,256,25,5,0.8581379532814029,0.01718059051171,0.89284552491677,0.8934367857772041,0.057999999999999996,0.165035426616669,12,0,7.4,9.4,0.0,0.0
128,EFNB0,0,256,1,256,25,5,0.862264716625213,0.021281938286746,0.8916973722443299,0.8933609456713142,0.05,0.16446291506290397,12,0,9.2,9.4,0.0,0.0
128,EFNB0,1,128,1,128,25,3,0.86851970354716,0.00785390422536,0.891658163370593,0.8919968306392441,0.013333333333333,0.16446494559447,20,0,10.0,15.0,0.0,0.0
128,EFNB0,1,128,1,128,25,5,0.8606089234352109,0.011030011396195,0.8880645883515831,0.8898034947483459,0.03,0.16457936465740197,12,0,8.2,9.8,0.0,0.0
128,EFNB0,1,64,1,64,25,5,0.8921396970748899,0.012268916080016,0.8815963301995,0.883801410785627,0.106,0.25111405253410296,15,0,12.0,6.14,,
128,EFNB0,0,256,1,256,25,5,0.8623782992362979,0.0,0.8920972330756091,0.0,0.0,0.164594733715057,15,1,9.4,10.2,0.0,0.0
128,EFNB0,0,128,1,128,50,5,0.869673132896423,0.02028916801132,0.8937460157968609,0.0,0.0,0.16448000073432903,30,0,12.6,11.4,0.0,0.0
128,EFNB0,1,128,1,128,25,5,0.8700271010398871,0.019536731973835,0.893820225893497,0.0,0.0,0.163721975684166,15,0,8.8,10.0,0.0,0.0
128,EFNB0,0,256,1,256,25,5,0.8625759959220891,0.017380884039228,0.8959729351033909,0.0,0.0,0.16468278169632,20,0,9.4,12.0,0.0,0.0
192,EFNB0,0,128,1,128,25,5,0.869117212295532,0.0,0.899562463273506,0.0,0.0,0.16338679790496802,15,1,9.8,10.2,0.0,0.0
192,EFNB0,1,64,2,128,25,5,0.9025285959243772,0.008819061100866,0.906528510640077,0.9148777323746179,0.156,0.21264392733573897,50,0,11.8,31.8,0.0,0.9333
256,EFNB0,1,128,1,128,25,5,0.905724668502807,0.013084758869453999,0.913515447534448,0.914208397682868,0.172,0.365035182237625,12,0,8.6,9.4,0.0,0.0
256,EFNB0,1,128,1,128,25,5,0.88036208152771,0.021434218409806,0.911404652043889,0.0,0.0,0.16100997626781502,15,0,7.8,12.0,0.0,0.0
256,EFNB0,0,128,1,128,25,5,0.8814424514770509,0.0,0.905684973004158,0.0,0.0,0.162523764371872,15,1,9.4,11.2,0.0,0.0
128,EFNB0EXP,1,128,1,128,25,5,0.912632763385773,0.0025934788288340003,0.9127586417366891,0.9186791723464429,0.29,0.47279076774915096,12,0,9.0,9.66666666666667,0.0,0.0
192,EFNB0EXP,1,64,2,128,25,5,0.9028320511182151,0.004064477429023,0.9107255633775211,0.911090005844535,0.0,0.24584720035394,20,0,10.6666666666667,15.166666666666698,0.0,0.0
128,EFNB1,0,128,1,128,25,5,0.857286953926086,0.0158,0.8909224140809759,0.0,0.0,0.16485125124454503,15,1,12.2,11.2,0.0,0.0
192,EFNB1,1,128,1,128,25,5,0.885721409320831,0.022526056028291,0.9028491209842192,0.0,0.0,0.16254643201827998,15,0,10.2,9.8,0.0,0.0
192,EFNB1,0,128,1,128,25,5,0.8722567200660708,0.024583769261182,0.898724819152755,0.0,0.0,0.16361636817455302,15,1,10.6,10.8,0.0,0.0
256,EFNB1,1,64,1,64,25,5,0.894407784938812,0.012953494819336,0.9127315718963871,0.0,0.0,0.16083340942859697,15,0,8.8,13.4,0.0,0.0
256,EFNB1,0,64,1,64,25,5,0.8862487077713009,0.010747561787299,0.9072202546432779,0.0,0.0,0.162027505040169,15,1,9.6,10.2,0.0,0.0
256,EFNB1,1,32,2,64,25,5,0.9723212480545042,0.003898234251777,0.9759869394323472,0.9759061581187719,0.027999999999999997,0.194674277305603,50,0,34.8,40.4,0.0,0.9379
256,EFNB1EXP,1,32,2,64,25,5,0.955028522014618,0.018499758124039,0.962169017502351,0.962298055631389,0.16399999999999998,0.208217066526413,60,0,43.6,41.8,0.0,0.0
256,EFNB2,1,64,1,64,25,5,0.95633647441864,0.007295955628139,0.9617483458424151,0.9621246183843609,0.038,0.200850901007652,17,0,15.6,10.4,0.0,0.9428
256,EFNB2,1,64,1,64,25,5,0.903818678855896,0.017789700300431997,0.9138614016502471,0.914280007097846,0.078,0.20740845799446103,12,0,7.2,7.8,0.0,0.9361
256,EFNB2,1,64,1,64,25,5,0.8881463527679441,0.020123996424633,0.909703643703199,0.9103667142109929,0.05,0.161090669035912,20,0,10.6,10.6,0.0,0.9407
256,EFNB2,1,64,1,64,25,5,0.8897529244422909,0.014139597587700002,0.915927499067769,0.0,0.0,0.161169651150703,15,0,9.2,11.0,0.9377,0.0
256,EFNB2,0,64,1,64,25,5,0.8843841195106509,0.009332058431073,0.9093861528419359,0.0,0.0,0.16191142499446898,15,1,9.6,9.4,0.9296,0.0
256,EFNB2,1,64,8,512,25,5,0.910257005691528,0.010414852211761,0.921064309467413,0.9241158594370079,0.062,0.179513090848923,20,0,14.0,5.8,0.9413,0.9438
256,EFNB2,1,32,2,64,25,5,0.977579069137573,0.003972262820558,0.9798873022551271,0.980375206366418,0.064,0.185613253712654,50,0,37.6,45.0,0.0,0.9343
384,EFNB2,0,128,1,128,25,5,0.8288810849189759,0.03866252204524,0.842110823519814,0.0,0.0,0.16504451036453302,15,1,11.2,11.4,0.0,0.0
512,EFNB2,0,64,8,512,25,5,0.8865650296211239,0.012559633684643998,0.879694472020489,0.0,0.0,0.161942759156227,15,1,8.2,8.6,0.0,0.0
256,EFNB2EXP,1,64,1,64,25,5,0.9385188221931461,0.0,0.9460794127460791,0.9466891133557801,0.18,0.21914353966713,20,0,14.0,17.0,0.0,0.0
256,EFNB2EXP,1,64,1,64,25,5,0.9253759622573849,0.021438849039715997,0.94541462674796,0.945606515606515,0.11,0.21329670548439,15,0,11.8,13.8,0.0,0.0
192,EFNB3,0,32,1,32,25,5,0.8675413966178891,0.012185428631991999,0.898843464186272,0.0,0.0,0.163562643527985,20,1,8.8,10.4,0.0,0.0
256,EFNB3,0,16,1,16,25,5,0.871538424491882,0.011266203513388999,0.9044221851694959,0.0,0.0,0.16271080970764198,15,1,11.6,11.6,0.0,0.0
384,EFNB3,0,8,1,8,25,5,0.876217067241669,0.016870740507025,0.8987166450539921,0.0,0.0,0.163968902826309,15,1,8.8,10.2,0.9235,0.0
384,EFNB3,0,128,8,1024,25,5,0.8747592091560359,0.019894055402533,0.8830696512007541,0.0,0.0,0.16184618771076198,20,0,13.0,13.8,0.9181,0.0
384,EFNB3,1,16,1,16,25,5,0.8981235980987551,0.013586299537828,0.910306820291125,0.0,0.0,0.161234921216965,15,0,10.0,11.6,0.9467,0.0
384,EFNB3,1,16,2,32,25,5,0.928686141967773,0.006288609263261999,0.9353157918936519,0.936077365370211,0.13,0.201044425368309,50,0,9.66666666666667,44.6666666666667,0.0,0.9479
384,EFNB3EXP,1,8,2,16,25,5,0.905761023362478,0.005587474493370999,0.9129895895310859,0.9134613865765241,0.0,0.23726532111565304,20,0,14.666666666666698,14.5,0.0,0.0
256,EFNB4,0,32,1,32,25,5,0.889665460586548,0.013591715266825,0.914789746244106,0.0,0.0,0.161829087138176,15,1,12.4,12.8,0.9262,0.0
384,EFNB4,0,16,1,16,25,5,0.8934939384460451,0.025732569194882003,0.9092966088853471,0.0,0.0,0.16164385676384,15,1,9.8,12.0,0.0,0.0
384,EFNB4,1,128,8,1024,25,5,0.896318829059601,0.008177585807027,0.9020814257086178,0.0,0.0,0.15934627354145098,20,0,14.4,11.2,0.935,0.0
384,EFNB4,0,128,8,1024,25,5,0.890323376655579,0.009456290694427,0.9050703854224251,0.0,0.0,0.161674621701241,20,0,17.0,16.2,0.9357,0.0
384,EFNB4,1,16,2,32,25,5,0.9205122351646423,0.011509212282115575,0.9281856379101515,0.9336667737351705,0.10400000000000001,0.3287278950214386,25,1,9.6,7.6,0.0,0.0
512,EFNB4,0,64,8,512,25,5,0.8858375906944279,0.021589682337846,0.876753056081125,0.0,0.0,0.16284144520759603,15,1,7.4,7.6,0.0,0.0
512,EFNB5,0,32,8,256,25,5,0.9031879901885991,0.015500147441828998,0.887710422072404,0.0,0.0,0.161709621548653,15,1,5.8,5.6,0.9383,0.0
512,EFNB5EXP,1,32,8,256,25,5,0.924424,0.0,0.9284819999999999,0.93765,0.17,0.18778,25,1,11.0,14.0,0.0,0.0
512,EFNB5EXP,1,32,8,256,25,5,0.9260120000000001,0.0,0.9375370000000001,0.944031,0.3,0.21243099999999998,25,1,6.0,2.0,0.0,0.0
512,EFNB5EXP,1,32,8,256,25,5,0.915058,0.0,0.921306,0.925738,0.14,0.16246300000000002,25,1,4.0,8.0,0.0,0.0
512,EFNB6,0,8,8,64,25,3,0.889956573645274,0.010651335583301001,0.890716587594098,0.0,0.0,0.162820632259051,15,1,11.666666666666698,10.6666666666667,0.9358,0.0
512,EFNB6EXP,1,32,8,256,25,5,0.92171,0.0,0.934084,0.934084,0.0,0.22662800000000002,12,0,11.0,8.0,0.0,0.9374
512,EFNB6EXP,1,32,8,256,25,5,0.9188700000000001,0.0,0.931154,0.931154,0.0,0.182596,20,0,8.0,4.0,0.0,0.9443
